"","Tm","X.Bat","BatAge","R.G","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","LOB","Year"
"160","Detroit Tigers","45","28.5","4.46","162","6136","5602","723","1521","283","45","168","678","66","28","384","1038",".272",".321",".428",".750","100","2398","137","53","44","52","24","1077",2005
"161","Florida Marlins","47","29.7","4.43","162","6214","5502","717","1499","306","32","128","678","96","38","512","918",".272",".339",".409",".748","101","2253","144","67","82","50","61","1181",2005
"162","Houston Astros","36","30.2","4.25","163","6139","5462","693","1400","281","32","161","654","115","44","481","1037",".256",".322",".408",".730","90","2228","116","72","82","42","43","1136",2005
"163","Kansas City Royals","46","28.0","4.33","162","6086","5503","701","1445","289","34","126","653","53","33","424","1008",".263",".320",".396",".716","91","2180","139","63","46","50","23","1062",2005
"164","Los Angeles Angels of Anaheim","40","29.8","4.70","162","6186","5624","761","1520","278","30","147","726","161","57","447","848",".270",".325",".409",".734","96","2299","125","29","43","39","51","1086",2005
"165","Los Angeles Dodgers","44","28.6","4.23","162","6134","5433","685","1374","284","21","149","653","58","35","541","1094",".253",".326",".395",".721","90","2147","139","67","57","33","30","1135",2005
"166","Milwaukee Brewers","39","28.4","4.48","162","6156","5448","726","1413","327","19","175","689","79","34","531","1162",".259",".331",".423",".754","97","2303","137","73","66","38","55","1120",2005
"167","Minnesota Twins","37","27.6","4.25","162","6192","5564","688","1441","269","32","134","644","102","44","485","978",".259",".323",".391",".714","88","2176","155","59","42","42","49","1109",2005
"168","New York Mets","42","28.8","4.46","162","6146","5505","722","1421","279","32","175","683","153","40","486","1075",".258",".322",".416",".738","95","2289","103","48","69","38","49","1122",2005
"169","New York Yankees","51","32.3","5.47","162","6406","5624","886","1552","259","16","229","847","84","27","637","989",".276",".355",".450",".805","115","2530","125","73","28","43","41","1264",2005
"170","Oakland Athletics","41","28.6","4.77","162","6275","5627","772","1476","310","20","155","739","31","22","537","819",".262",".330",".407",".737","96","2291","148","52","19","40","22","1170",2005
"171","Philadelphia Phillies","40","30.0","4.98","162","6345","5542","807","1494","282","35","167","760","116","27","639","1083",".270",".348",".423",".772","98","2347","107","56","62","46","76","1251",2005
"172","Pittsburgh Pirates","44","27.4","4.20","162","6221","5573","680","1445","292","38","139","656","73","30","471","1092",".259",".322",".400",".723","90","2230","130","72","56","49","38","1193",2005
"173","San Diego Padres","46","31.0","4.22","162","6271","5502","684","1416","269","39","130","655","99","44","600","977",".257",".333",".391",".724","97","2153","122","49","72","48","41","1220",2005
"174","Seattle Mariners","48","28.7","4.31","162","6095","5507","699","1408","289","34","130","657","102","47","466","986",".256",".317",".391",".709","92","2155","115","48","37","37","50","1076",2005
"175","San Francisco Giants","50","32.2","4.01","162","6077","5462","649","1427","299","26","128","617","71","35","431","901",".261",".319",".396",".714","86","2162","147","49","91","44","26","1093",2005
"176","St. Louis Cardinals","40","30.8","4.97","162","6246","5538","805","1494","287","26","170","757","83","36","534","947",".270",".339",".423",".762","98","2343","127","62","77","35","60","1152",2005
"177","Tampa Bay Devil Rays","43","27.5","4.63","162","6120","5552","750","1519","289","40","157","717","151","49","412","990",".274",".329",".425",".754","101","2359","133","69","34","51","25","1065",2005
"178","Texas Rangers","50","27.9","5.34","162","6301","5716","865","1528","311","29","260","834","67","15","495","1112",".267",".329",".468",".798","105","2677","123","48","9","32","20","1104",2005
"179","Toronto Blue Jays","37","27.9","4.78","162","6233","5581","775","1480","307","39","136","735","72","35","486","955",".265",".331",".407",".738","94","2273","126","89","21","56","18","1118",2005
"180","Washington Nationals","55","29.3","3.94","162","6142","5426","639","1367","311","32","117","615","45","45","491","1090",".252",".322",".386",".708","89","2093","130","89","91","45","55","1137",2005
"181","Arizona Diamondbacks","45","29.6","4.77","162","6330","5645","773","1506","331","38","160","743","76","30","504","965",".267",".331",".424",".755","89","2393","136","67","61","53","47","1166",2006
"182","Atlanta Braves","45","27.4","5.24","162","6284","5583","849","1510","312","26","222","818","52","35","526","1169",".270",".337",".455",".791","101","2540","131","52","78","44","48","1105",2006
"183","Baltimore Orioles","46","30.4","4.74","162","6240","5610","768","1556","288","20","164","727","121","32","474","878",".277",".339",".424",".763","97","2376","145","73","40","41","35","1177",2006
"184","Boston Red Sox","53","30.4","5.06","162","6435","5619","820","1510","327","16","192","777","51","23","672","1056",".269",".351",".435",".786","98","2445","136","66","22","56","56","1301",2006
"185","Chicago Cubs","46","28.6","4.42","162","6147","5587","716","1496","271","46","166","677","121","49","395","928",".268",".319",".422",".741","86","2357","135","43","84","37","24","1082",2006
"186","Chicago White Sox","37","29.7","5.36","162","6318","5657","868","1586","291","20","236","839","93","48","502","1056",".280",".342",".464",".806","103","2625","118","58","44","57","33","1125",2006
"187","Cincinnati Reds","54","29.6","4.62","162","6296","5515","749","1419","291","12","217","718","124","33","614","1192",".257",".336",".432",".768","93","2385","122","59","66","38","52","1196",2006
"188","Cleveland Indians","45","27.7","5.37","162","6303","5619","870","1576","351","27","196","839","55","23","556","1204",".280",".349",".457",".806","108","2569","127","54","30","43","42","1162",2006
"189","Colorado Rockies","50","27.8","5.02","162","6348","5562","813","1504","325","54","157","761","85","50","561","1108",".270",".341",".433",".774","90","2408","119","60","119","45","64","1174",2006
"190","Detroit Tigers","40","29.3","5.07","162","6198","5642","822","1548","294","40","203","785","60","40","430","1133",".274",".329",".449",".777","99","2531","120","45","45","36","27","1068",2006
"191","Florida Marlins","40","25.6","4.68","162","6191","5502","758","1454","309","42","182","713","110","58","497","1249",".264",".331",".435",".766","99","2393","109","74","76","42","55","1126",2006
"192","Houston Astros","39","30.5","4.54","162","6326","5521","735","1407","275","27","174","708","79","36","585","1076",".255",".332",".409",".741","89","2258","122","73","100","46","54","1191",2006
"193","Kansas City Royals","55","29.7","4.67","162","6229","5589","757","1515","335","37","124","718","65","34","474","1040",".271",".332",".411",".743","91","2296","130","64","52","48","32","1144",2006
"194","Los Angeles Angels of Anaheim","40","28.8","4.73","162","6221","5609","766","1539","309","29","159","737","148","57","486","914",".274",".334",".425",".759","95","2383","126","42","31","53","49","1121",2006
"195","Los Angeles Dodgers","50","29.9","5.06","162","6394","5628","820","1552","307","58","153","787","128","49","601","959",".276",".348",".432",".781","99","2434","140","51","66","48","61","1223",2006
"196","Milwaukee Brewers","49","28.8","4.51","162","6130","5433","730","1400","301","20","180","695","71","37","502","1233",".258",".327",".420",".747","89","2281","133","82","58","53","48","1108",2006
"197","Minnesota Twins","39","28.4","4.94","162","6228","5602","801","1608","275","34","143","754","101","42","490","872",".287",".347",".425",".771","101","2380","163","50","31","55","46","1143",2006
"198","New York Mets","49","30.1","5.15","162","6291","5558","834","1469","323","41","200","800","146","35","547","1071",".264",".334",".445",".780","100","2474","114","62","77","47","63","1115",2006
"199","New York Yankees","49","30.9","5.74","162","6455","5651","930","1608","327","21","210","902","139","35","649","1053",".285",".363",".461",".824","111","2607","139","72","34","49","43","1253",2006
"200","Oakland Athletics","40","29.7","4.76","162","6281","5500","771","1429","266","22","175","735","61","20","650","976",".260",".340",".412",".752","97","2264","170","50","25","56","28","1187",2006
"201","Philadelphia Phillies","45","29.3","5.34","162","6509","5687","865","1518","294","41","216","823","92","25","626","1203",".267",".347",".447",".794","98","2542","115","95","57","44","67","1275",2006
"202","Pittsburgh Pirates","42","27.8","4.27","162","6218","5558","691","1462","286","17","141","656","68","23","459","1200",".263",".327",".397",".723","86","2205","153","89","62","49","49","1175",2006
"203","San Diego Padres","46","30.7","4.51","162","6287","5576","731","1465","298","38","161","698","123","31","564","1104",".263",".332",".416",".749","99","2322","127","40","59","47","37","1188",2006
"204","Seattle Mariners","49","28.6","4.67","162","6213","5670","756","1540","266","42","172","703","106","37","404","974",".272",".325",".424",".749","95","2406","117","63","38","38","49","1110",2006
"205","San Francisco Giants","44","33.5","4.63","161","6136","5472","746","1418","297","52","163","711","58","25","494","891",".259",".324",".422",".746","90","2308","136","53","80","37","76","1092",2006
"206","St. Louis Cardinals","41","29.6","4.85","161","6225","5522","781","1484","292","27","184","745","59","32","531","922",".269",".337",".431",".769","97","2382","129","61","71","40","70","1158",2006
"207","Tampa Bay Devil Rays","49","27.3","4.25","162","6041","5474","689","1395","267","33","190","650","134","52","441","1106",".255",".314",".420",".733","89","2298","101","47","35","43","23","1038",2006
"208","Texas Rangers","51","28.4","5.15","162","6273","5659","835","1571","357","23","183","799","53","24","505","1061",".278",".338",".446",".784","101","2523","148","40","18","50","35","1139",2006
"209","Toronto Blue Jays","42","28.6","4.99","162","6241","5596","809","1591","348","27","199","778","65","33","514","906",".284",".348",".463",".811","108","2590","166","63","16","52","31","1162",2006
"210","Washington Nationals","57","28.5","4.60","162","6283","5495","746","1437","322","22","164","695","123","62","594","1156",".262",".338",".418",".756","98","2295","118","69","76","49","66","1194",2006
"211","Arizona Diamondbacks","47","26.6","4.40","162","6101","5398","712","1350","286","40","171","687","109","24","532","1111",".250",".321",".413",".734","83","2229","121","57","55","58","38","1090",2007
"212","Atlanta Braves","50","27.6","5.00","162","6374","5689","810","1562","328","27","176","781","64","30","534","1149",".275",".339",".435",".774","101","2472","137","49","55","47","43","1205",2007
"213","Baltimore Orioles","49","30.4","4.67","162","6264","5631","756","1529","306","30","142","718","144","42","500","939",".272",".333",".412",".746","95","2321","139","47","38","47","31","1152",2007
"214","Boston Red Sox","40","30.1","5.35","162","6426","5589","867","1561","352","35","166","829","96","24","689","1042",".279",".362",".444",".806","107","2481","146","64","30","54","54","1291",2007
"215","Chicago Cubs","47","29.3","4.64","162","6268","5643","752","1530","340","28","151","711","86","33","500","1054",".271",".333",".422",".754","90","2379","127","40","48","37","48","1190",2007
"216","Chicago White Sox","43","29.7","4.28","162","6103","5441","693","1341","249","20","190","667","78","45","532","1149",".246",".318",".404",".722","86","2200","138","52","41","35","33","1074",2007
"217","Cincinnati Reds","51","29.7","4.83","162","6332","5607","783","1496","293","23","204","747","97","31","536","1113",".267",".335",".436",".772","95","2447","140","66","73","46","51","1170",2007
"218","Cleveland Indians","41","28.0","5.01","162","6367","5604","811","1504","305","27","178","784","72","41","590","1202",".268",".343",".428",".771","102","2397","114","80","32","59","56","1215",2007
"219","Colorado Rockies","53","27.9","5.28","163","6498","5691","860","1591","313","36","171","823","100","31","622","1152",".280",".354",".437",".791","98","2489","140","58","83","44","51","1251",2007
"220","Detroit Tigers","44","30.9","5.48","162","6364","5757","887","1652","352","50","177","857","103","30","474","1054",".287",".345",".458",".802","108","2635","128","56","31","45","45","1148",2007
"221","Florida Marlins","50","26.7","4.88","162","6344","5627","790","1504","340","38","201","749","105","34","521","1332",".267",".336",".448",".784","104","2523","107","82","72","42","46","1192",2007
"222","Houston Astros","41","31.4","4.46","162","6324","5605","723","1457","293","30","167","700","65","33","547","1043",".260",".330",".412",".742","91","2311","142","55","77","40","40","1181",2007
"223","Kansas City Royals","45","28.0","4.36","162","6140","5534","706","1447","300","46","102","660","78","44","428","1069",".261",".322",".388",".710","87","2145","151","89","41","47","34","1089",2007
"224","Los Angeles Angels of Anaheim","42","28.6","5.07","162","6198","5554","822","1578","324","23","123","776","139","55","507","883",".284",".345",".417",".762","99","2317","146","40","32","65","55","1100",2007
"225","Los Angeles Dodgers","45","29.7","4.54","162","6282","5614","735","1544","276","35","129","706","137","50","511","864",".275",".337",".406",".743","91","2277","116","41","58","55","41","1200",2007
"226","Milwaukee Brewers","40","27.8","4.94","162","6238","5554","801","1455","310","37","231","774","96","32","501","1137",".262",".329",".456",".785","101","2532","112","76","60","47","60","1117",2007
"227","Minnesota Twins","42","28.5","4.43","162","6161","5522","718","1460","273","36","118","671","112","30","512","839",".264",".330",".391",".721","94","2159","149","48","34","45","41","1121",2007
"228","New York Mets","49","30.8","4.96","162","6344","5605","804","1543","294","27","177","761","200","46","549","981",".275",".342",".432",".775","101","2422","114","54","77","58","64","1196",2007
"229","New York Yankees","49","30.7","5.98","162","6528","5717","968","1656","326","32","201","929","123","40","637","991",".290",".366",".463",".829","116","2649","138","78","41","54","32","1249",2007
"230","Oakland Athletics","54","29.0","4.57","162","6365","5577","741","1430","295","16","171","711","52","20","664","1119",".256",".338",".407",".745","101","2270","142","49","18","56","29","1258",2007
"231","Philadelphia Phillies","46","28.8","5.51","162","6537","5688","892","1558","326","41","213","850","138","19","641","1205",".274",".354",".458",".812","105","2605","125","90","65","52","74","1295",2007
"232","Pittsburgh Pirates","46","27.2","4.47","162","6214","5569","724","1463","322","31","148","694","68","30","463","1135",".263",".325",".411",".736","92","2291","130","71","60","51","31","1119",2007
"233","San Diego Padres","49","29.9","4.55","163","6326","5612","741","1408","322","31","171","704","55","24","557","1229",".251",".322",".411",".732","97","2305","113","49","64","44","45","1152",2007
"234","Seattle Mariners","44","29.9","4.90","162","6209","5684","794","1629","284","22","153","754","81","30","389","861",".287",".337",".425",".762","103","2416","154","62","33","40","32","1128",2007
"235","San Francisco Giants","44","32.6","4.22","162","6213","5538","683","1407","267","37","131","641","119","33","532","907",".254",".322",".387",".708","82","2141","142","39","67","36","74","1141",2007
"236","St. Louis Cardinals","45","30.3","4.48","162","6211","5529","725","1513","279","13","141","690","56","33","506","909",".274",".337",".405",".743","92","2241","154","54","68","54","47","1167",2007
"237","Tampa Bay Devil Rays","45","25.9","4.83","162","6280","5593","782","1500","291","36","187","750","131","48","545","1324",".268",".336",".433",".769","103","2424","119","53","34","52","31","1166",2007
"238","Texas Rangers","50","29.4","5.04","162","6214","5555","816","1460","298","36","179","768","88","25","503","1224",".263",".328",".426",".754","97","2367","129","56","57","42","27","1092",2007
"239","Toronto Blue Jays","46","30.4","4.65","162","6197","5536","753","1434","344","24","165","719","57","22","533","1044",".259",".327",".419",".746","95","2321","127","47","33","48","32","1112",2007
"240","Washington Nationals","47","27.9","4.15","162","6201","5520","673","1415","309","31","123","646","69","23","524","1128",".256",".325",".390",".715","89","2155","143","53","63","41","38","1163",2007
"241","Arizona Diamondbacks","41","26.7","4.44","162","6156","5409","720","1355","318","47","159","683","58","23","587","1287",".251",".327",".415",".742","88","2244","105","49","68","43","49","1142",2008
"242","Atlanta Braves","49","27.1","4.65","162","6368","5604","753","1514","316","33","130","721","58","27","618","1023",".270",".345",".408",".753","99","2286","143","42","69","34","56","1274",2008
"243","Baltimore Orioles","46","30.1","4.86","161","6211","5559","782","1486","322","30","172","750","81","37","533","990",".267",".333",".429",".762","100","2384","111","42","27","48","37","1134",2008
"244","Boston Red Sox","47","29.8","5.22","162","6402","5596","845","1565","353","33","173","807","120","35","646","1068",".280",".358",".447",".805","107","2503","147","70","28","62","49","1262",2008
"245","Chicago Cubs","42","30.0","5.31","161","6384","5588","855","1552","329","21","184","811","87","34","636","1186",".278",".354",".443",".797","103","2475","134","50","65","45","48","1237",2008
"246","Chicago White Sox","39","30.6","4.98","163","6231","5553","811","1458","296","13","235","785","67","34","540","1016",".263",".332",".448",".780","102","2485","157","63","28","47","33","1067",2008
"247","Cincinnati Reds","48","28.6","4.35","162","6188","5465","704","1351","269","24","187","677","85","47","560","1125",".247",".321",".408",".729","89","2229","101","50","72","41","50","1138",2008
"248","Cleveland Indians","49","27.6","4.97","162","6299","5543","805","1455","339","22","171","772","77","29","560","1213",".262",".339",".424",".763","103","2351","123","103","43","49","44","1184",2008
"249","Colorado Rockies","49","27.5","4.61","162","6312","5557","747","1462","310","28","160","714","141","37","570","1209",".263",".336",".415",".751","89","2308","119","57","90","38","36","1207",2008
"250","Detroit Tigers","46","30.3","5.07","162","6331","5641","821","1529","293","41","200","780","63","31","572","1076",".271",".340",".444",".784","105","2504","144","44","30","44","23","1159",2008
"251","Florida Marlins","45","28.0","4.78","161","6206","5499","770","1397","302","28","208","741","76","28","543","1371",".254",".326",".433",".759","97","2379","98","69","49","46","50","1140",2008
"252","Houston Astros","41","31.1","4.42","161","6051","5451","712","1432","284","22","167","684","114","52","449","1051",".263",".323",".415",".737","95","2261","116","52","57","41","42","1073",2008
"253","Kansas City Royals","43","28.0","4.27","162","6118","5608","691","1507","303","28","120","650","79","38","392","1005",".269",".320",".397",".717","91","2226","144","50","32","36","31","1073",2008
"254","Los Angeles Angels of Anaheim","41","29.0","4.72","162","6155","5540","765","1486","274","25","159","721","129","48","481","987",".268",".330",".413",".743","95","2287","140","52","32","50","52","1087",2008
"255","Los Angeles Dodgers","46","28.5","4.32","162","6194","5506","700","1455","271","29","137","659","126","43","543","1032",".264",".333",".399",".732","93","2195","153","43","64","38","62","1161",2008
"256","Milwaukee Brewers","44","28.6","4.63","162","6252","5535","750","1398","324","35","198","722","108","38","550","1203",".253",".325",".431",".757","99","2386","97","69","54","43","44","1153",2008
"257","Minnesota Twins","40","26.2","5.09","163","6331","5641","829","1572","298","49","111","791","102","42","529","979",".279",".340",".408",".748","102","2301","142","36","52","72","48","1140",2008
"258","New York Mets","50","30.1","4.93","162","6388","5606","799","1491","274","38","172","751","138","36","619","1024",".266",".340",".420",".761","101","2357","129","39","73","49","71","1220",2008
"259","New York Yankees","51","31.3","4.87","162","6257","5572","789","1512","289","20","180","758","118","39","535","1015",".271",".342",".427",".769","101","2381","149","80","31","39","36","1160",2008
"260","Oakland Athletics","51","27.2","4.01","161","6138","5451","646","1318","270","23","125","610","88","21","574","1226",".242",".318",".369",".686","87","2009","126","48","30","35","23","1166",2008
"261","Philadelphia Phillies","40","30.1","4.93","162","6273","5509","799","1407","291","36","214","762","136","25","586","1117",".255",".332",".438",".770","99","2412","108","67","71","40","68","1154",2008
"262","Pittsburgh Pirates","47","28.4","4.54","162","6278","5628","735","1454","314","21","153","705","57","19","474","1039",".258",".320",".403",".723","92","2269","111","59","66","51","40","1135",2008
"263","San Diego Padres","59","28.9","3.93","162","6244","5568","637","1390","264","27","154","615","36","17","518","1259",".250",".317",".390",".707","96","2170","129","53","59","46","35","1181",2008
"264","Seattle Mariners","44","29.7","4.14","162","6176","5643","671","1498","285","20","124","631","90","32","417","890",".265",".318",".389",".707","90","2195","137","38","36","42","44","1151",2008
"265","San Francisco Giants","49","29.6","3.95","162","6145","5543","640","1452","311","37","94","606","108","46","452","1044",".262",".321",".382",".703","83","2119","139","48","57","44","45","1148",2008
"266","St. Louis Cardinals","43","28.8","4.81","162","6370","5636","779","1585","283","26","174","744","73","32","577","985",".281",".350",".433",".783","107","2442","150","42","71","44","63","1241",2008
"267","Tampa Bay Rays","46","27.0","4.78","162","6312","5541","774","1443","284","37","180","735","142","50","626","1224",".260",".340",".422",".762","101","2341","111","68","23","52","33","1215",2008
"268","Texas Rangers","55","27.7","5.56","162","6478","5728","901","1619","376","35","194","867","81","25","595","1207",".283",".354",".462",".816","114","2647","117","63","37","54","43","1238",2008
"269","Toronto Blue Jays","43","31.0","4.41","162","6191","5503","714","1453","303","32","126","681","80","27","521","938",".264",".331",".399",".731","96","2198","150","59","48","56","34","1155",2008
"270","Washington Nationals","50","27.8","3.98","161","6192","5491","641","1376","269","26","117","608","81","43","534","1095",".251",".323",".373",".696","84","2048","153","67","64","36","21","1178",2008
"271","Arizona Diamondbacks","45","26.5","4.44","162","6269","5565","720","1408","307","45","173","686","102","40","571","1298",".253",".324",".418",".742","91","2324","93","37","54","41","47","1173",2009
"272","Atlanta Braves","45","28.8","4.54","162","6335","5539","735","1459","300","20","149","700","58","26","602","1064",".263",".339",".405",".744","97","2246","142","52","95","47","54","1223",2009
"273","Baltimore Orioles","48","28.7","4.57","162","6233","5618","741","1508","307","19","160","708","76","37","517","1013",".268",".332",".415",".747","95","2333","131","39","13","46","25","1160",2009
"274","Boston Red Sox","52","30.0","5.38","162","6344","5543","872","1495","335","25","212","822","126","39","659","1120",".270",".352",".454",".806","106","2516","137","70","19","51","39","1210",2009
"275","Chicago Cubs","45","29.9","4.39","161","6244","5486","707","1398","293","29","161","678","56","34","592","1185",".255",".332",".407",".738","89","2232","134","59","65","42","44","1209",2009
"276","Chicago White Sox","45","29.8","4.47","162","6132","5463","724","1410","246","20","184","695","113","49","534","1022",".258",".329",".411",".740","90","2248","139","62","34","39","25","1086",2009
"277","Cincinnati Reds","46","27.9","4.15","162","6187","5462","673","1349","280","25","158","637","96","40","531","1129",".247",".318",".394",".712","87","2153","103","53","100","41","37","1131",2009
"278","Cleveland Indians","52","27.4","4.77","162","6320","5568","773","1468","314","28","161","730","84","31","582","1211",".264",".339",".417",".756","102","2321","140","81","39","50","20","1198",2009
"279","Colorado Rockies","45","27.8","4.96","162","6241","5398","804","1408","300","50","190","760","106","55","660","1277",".261",".343",".441",".784","96","2378","111","47","76","60","40","1147",2009
"280","Detroit Tigers","45","29.8","4.56","163","6234","5540","743","1443","245","35","183","718","72","33","540","1114",".260",".331",".416",".747","95","2307","131","61","53","39","30","1159",2009
"281","Florida Marlins","44","27.0","4.77","162","6312","5572","772","1493","296","25","159","727","75","35","568","1226",".268",".340",".416",".756","97","2316","110","63","70","39","46","1214",2009
"282","Houston Astros","42","31.6","3.97","162","6040","5436","643","1415","270","32","142","616","113","44","448","990",".260",".319",".400",".719","91","2175","153","43","66","45","37","1080",2009
"283","Kansas City Royals","43","27.6","4.23","162","6103","5532","686","1432","276","51","144","657","88","29","457","1091",".259",".318",".405",".724","92","2242","135","42","38","32","20","1090",2009
"284","Los Angeles Angels of Anaheim","46","29.5","5.45","162","6305","5622","883","1604","293","33","173","841","148","63","547","1054",".285",".350",".441",".792","108","2482","128","41","43","52","32","1134",2009
"285","Los Angeles Dodgers","47","29.7","4.81","162","6385","5592","780","1511","278","39","145","739","116","48","607","1068",".270",".346",".412",".758","104","2302","141","63","78","44","76","1224",2009
"286","Milwaukee Brewers","45","29.3","4.85","162","6296","5510","785","1447","281","37","182","757","68","37","610","1231",".263",".341",".426",".767","103","2348","128","71","58","47","44","1203",2009
"287","Minnesota Twins","42","27.6","5.01","163","6346","5608","817","1539","271","40","172","770","85","32","585","1021",".274",".345",".429",".774","104","2406","147","45","51","57","46","1185",2009
"288","New York Mets","53","29.5","4.14","162","6159","5453","671","1472","295","49","95","631","122","44","526","928",".270",".335",".394",".729","95","2150","144","36","88","55","49","1183",2009
"289","New York Yankees","45","30.6","5.65","162","6449","5660","915","1604","325","21","244","881","111","28","663","1014",".283",".362",".478",".839","114","2703","144","54","31","39","35","1238",2009
"290","Oakland Athletics","51","29.1","4.69","162","6247","5584","759","1464","307","21","135","723","133","48","527","1046",".262",".328",".397",".726","92","2218","130","50","31","54","16","1130",2009
"291","Philadelphia Phillies","41","31.3","5.06","162","6338","5578","820","1439","312","35","224","788","119","28","589","1155",".258",".334",".447",".781","104","2493","90","71","55","45","47","1192",2009
"292","Pittsburgh Pirates","49","27.0","3.95","161","6058","5417","636","1364","289","34","125","612","90","32","499","1142",".252",".318",".387",".705","87","2096","124","46","60","36","44","1124",2009
"293","San Diego Padres","56","28.0","3.94","162","6179","5425","638","1315","265","31","141","605","82","29","586","1182",".242",".321",".381",".701","93","2065","131","57","74","36","52","1168",2009
"294","Seattle Mariners","46","29.9","3.95","162","6113","5543","640","1430","280","19","160","613","89","33","421","1093",".258",".314",".402",".716","92","2228","124","49","56","44","39","1121",2009
"295","San Francisco Giants","44","29.0","4.06","162","6057","5493","657","1411","275","43","122","612","78","28","392","1158",".257",".309",".389",".699","82","2138","115","50","67","55","41","1080",2009
"296","St. Louis Cardinals","42","28.5","4.51","162","6168","5465","730","1436","294","29","160","694","75","31","528","1041",".263",".332",".415",".747","98","2268","127","61","68","43","73","1152",2009
"297","Tampa Bay Rays","41","27.8","4.96","162","6223","5462","803","1434","297","36","199","765","194","61","642","1229",".263",".343",".439",".782","106","2400","104","49","25","45","36","1151",2009
"298","Texas Rangers","44","27.8","4.84","162","6127","5526","784","1436","296","27","224","748","149","36","472","1253",".260",".320",".445",".764","95","2458","97","37","40","51","23","1059",2009
"299","Toronto Blue Jays","44","29.9","4.93","162","6362","5696","798","1516","339","13","209","766","73","23","548","1028",".266",".333",".440",".773","102","2508","130","45","24","49","23","1195",2009
"300","Washington Nationals","55","28.4","4.38","162","6273","5493","710","1416","271","38","156","685","73","40","617","1208",".258",".337",".406",".743","96","2231","133","56","64","42","39","1223",2009
"301","Arizona Diamondbacks","48","26.8","4.40","162","6183","5473","713","1366","301","34","180","691","86","41","589","1529",".250",".325",".416",".740","94","2275","113","39","41","41","45","1139",2010
"302","Atlanta Braves","43","28.6","4.56","162","6252","5463","738","1411","312","25","139","699","63","29","634","1140",".258",".339",".401",".740","101","2190","136","51","69","35","50","1222",2010
"303","Baltimore Orioles","45","28.6","3.78","162","6109","5554","613","1440","264","21","133","577","76","34","424","1056",".259",".316",".386",".702","92","2145","154","54","31","45","32","1139",2010
"304","Boston Red Sox","53","30.9","5.05","162","6356","5646","818","1511","358","22","211","782","68","17","587","1140",".268",".339",".451",".790","109","2546","130","47","29","46","43","1200",2010
"305","Chicago Cubs","44","29.3","4.23","162","6140","5512","685","1414","298","27","149","658","55","31","479","1236",".257",".320",".401",".721","90","2213","124","50","60","38","32","1129",2010
"306","Chicago White Sox","40","30.6","4.64","162","6118","5484","752","1467","263","21","177","710","160","74","467","922",".268",".332",".420",".752","102","2303","148","79","50","38","23","1046",2010
"307","Cincinnati Reds","44","29.0","4.88","162","6285","5579","790","1515","293","30","188","761","93","43","522","1218",".272",".338",".436",".774","106","2432","113","68","66","50","34","1174",2010
"308","Cleveland Indians","45","27.2","3.99","162","6165","5487","646","1362","290","20","128","601","91","33","545","1184",".248",".322",".378",".700","96","2076","118","64","36","33","34","1186",2010
"309","Colorado Rockies","43","28.8","4.75","162","6265","5530","770","1452","270","54","173","741","99","42","585","1274",".263",".336",".425",".760","92","2349","103","47","56","47","53","1175",2010
"310","Detroit Tigers","41","29.0","4.64","162","6312","5643","751","1515","308","32","152","717","69","30","546","1147",".268",".335",".415",".750","102","2343","118","41","41","41","50","1229",2010
"311","Florida Marlins","57","26.9","4.44","162","6194","5531","719","1403","294","37","152","686","92","26","514","1375",".254",".321",".403",".724","92","2227","107","55","51","43","42","1154",2010
"312","Houston Astros","48","29.6","3.77","162","6005","5452","611","1348","252","25","108","577","100","36","415","1025",".247",".303",".362",".665","81","1974","130","33","75","29","27","1060",2010
"313","Kansas City Royals","46","28.9","4.17","162","6209","5604","676","1534","279","31","121","640","115","50","471","905",".274",".331",".399",".730","100","2238","152","35","45","53","25","1173",2010
"314","Los Angeles Angels of Anaheim","46","29.6","4.20","162","6089","5488","681","1363","276","19","155","656","104","52","466","1070",".248",".311",".390",".702","94","2142","125","52","42","37","28","1049",2010
"315","Los Angeles Dodgers","49","30.3","4.12","162","6140","5426","667","1368","270","29","120","621","92","50","533","1184",".252",".322",".379",".700","92","2056","123","46","85","50","57","1142",2010
"316","Milwaukee Brewers","43","27.9","4.63","162","6304","5606","750","1471","293","33","182","710","81","26","546","1216",".262",".335",".424",".759","103","2376","115","81","35","35","35","1220",2010
"317","Minnesota Twins","42","28.4","4.82","162","6257","5568","781","1521","318","41","142","749","68","28","559","967",".273",".341",".422",".762","109","2347","159","39","38","53","45","1156",2010
"318","New York Mets","47","28.4","4.05","162","6144","5465","656","1361","266","40","128","625","130","44","502","1095",".249",".314",".383",".697","90","2091","101","46","74","57","53","1124",2010
"319","New York Yankees","43","30.3","5.30","162","6379","5567","859","1485","275","32","201","823","103","30","662","1136",".267",".350",".436",".786","108","2427","124","73","33","44","36","1228",2010
"320","Oakland Athletics","49","27.8","4.09","162","6117","5448","663","1396","276","30","109","619","156","38","527","1061",".256",".324",".378",".702","92","2059","129","47","43","51","16","1159",2010
"321","Philadelphia Phillies","42","31.8","4.77","162","6291","5581","772","1451","290","34","166","736","108","21","560","1064",".260",".332",".413",".745","98","2307","120","63","44","43","69","1194",2010
